,PatentID,Blockings,PatentIDStr
0,5958006,70,5958006
1,6882709,52,6882709
2,6526275,48,6526275
3,5764899,39,5764899
4,6587127,33,6587127
5,6915530,30,6915530
6,6169538,29,6169538
7,5867478,28,5867478
8,6526581,26,6526581
9,5872777,25,5872777
10,6426983,25,6426983
11,5966120,24,5966120
12,6134237,22,6134237
13,6570922,22,6570922
14,6175588,21,6175588
15,5771353,20,5771353
16,6107920,20,6107920
17,7126996,20,7126996
18,6393076,19,6393076
19,6487721,19,6487721
20,6127058,19,6127058
21,5910951,19,5910951
22,7707406,19,7707406
23,5854972,18,5854972
24,5886736,18,5886736
25,6842170,17,6842170
26,6807317,16,6807317
27,7277453,16,7277453
28,5697793,16,5697793
29,6321073,16,6321073
30,6563868,16,6563868
31,5956088,16,5956088
32,6965763,16,6965763
33,6885874,15,6885874
34,6249894,15,6249894
35,6744740,15,6744740
36,6068946,15,6068946
37,7155483,15,7155483
38,6307846,15,6307846
39,6658272,14,6658272
40,6144186,14,6144186
41,6797427,14,6797427
42,6766353,14,6766353
43,6269336,13,6269336
44,6061449,13,6061449
45,6104317,13,6104317
46,6493388,13,6493388
47,6009173,13,6009173
48,7620403,13,7620403
49,6138011,12,6138011
50,6766147,12,6766147
51,5917830,12,5917830
52,6710578,12,6710578
53,7385913,11,7385913
54,5826188,11,5826188
55,6660423,11,6660423
56,6430228,11,6430228
57,7215976,11,7215976
58,6970127,11,6970127
59,6920171,11,6920171
60,7940740,11,7940740
61,7292879,11,7292879
62,7414989,11,7414989
63,8102802,11,8102802
64,6134223,11,6134223
65,6948183,10,6948183
66,5815407,10,5815407
67,6572830,10,6572830
68,6686931,10,6686931
69,7082290,10,7082290
70,5857155,10,5857155
71,6167268,10,6167268
72,6771657,10,6771657
73,6725022,10,6725022
74,6850503,10,6850503
75,7088220,10,7088220
76,6246862,10,6246862
77,6043838,10,6043838
78,7184745,10,7184745
79,6640087,10,6640087
80,5909183,10,5909183
81,7272190,9,7272190
82,7013143,9,7013143
83,7817718,9,7817718
84,6466938,9,6466938
85,7243163,9,7243163
86,6992580,9,6992580
87,6005980,9,6005980
88,6801642,9,6801642
89,6832259,9,6832259
90,6549789,9,6549789
91,6529144,9,6529144
92,6647061,9,6647061
93,7006616,9,7006616
94,6185433,8,6185433
95,6176401,8,6176401
96,6192029,8,6192029
97,7139328,8,7139328
98,6377810,8,6377810
99,5744258,8,5744258
100,6826388,8,6826388
101,6387559,8,6387559
102,6271837,8,6271837
103,7159120,8,7159120
104,6734898,8,6734898
105,7136909,8,7136909
106,6597890,8,6597890
107,5959546,8,5959546
108,6141393,8,6141393
109,6925064,8,6925064
110,6965754,8,6965754
111,6295606,8,6295606
112,7069027,8,7069027
113,7457588,8,7457588
114,6720864,7,6720864
115,7876837,7,7876837
