,PatentID,Citations
0,5764899,324
1,6587127,247
2,5867478,223
3,6269336,206
4,6141341,205
5,6829475,205
6,6810323,201
7,5771353,194
8,6526275,185
9,6101531,182
10,6526581,179
11,7412077,177
12,6377810,177
13,5917830,174
14,6731940,171
15,6107920,171
16,5745116,161
17,6184651,160
18,6157630,159
19,5958006,154
20,6374177,153
21,6009336,153
22,6725022,153
23,6212550,152
24,5738583,148
25,6728531,147
26,6885874,145
27,6206293,142
28,5834756,140
29,6233559,134
30,6331972,134
31,6456852,130
32,6748195,129
33,6757544,123
34,6889385,121
35,6265977,120
36,6043707,119
37,6658272,117
38,6434159,115
39,5870030,115
40,6493875,112
41,6640184,111
42,6058106,110
43,5948066,110
44,6505049,108
45,5991447,108
46,6421602,105
47,6993327,103
48,6668046,101
49,6052563,101
50,6246862,100
51,7050419,100
52,7035270,100
53,6895238,99
54,5894320,98
55,5777903,98
56,6980596,98
57,5781226,97
58,6223291,95
59,5928330,95
60,6756882,94
61,6049821,92
62,7243163,89
63,5909183,89
64,6927728,89
65,5952942,88
66,5982445,88
67,6542466,88
68,7970350,87
69,5740534,86
70,6522352,86
71,5999826,85
72,6799201,84
73,6169538,82
74,6212470,82
75,6609004,80
76,6005980,80
77,5786727,79
78,6832259,79
79,6859503,79
80,7593714,79
81,6052600,78
82,6606483,78
83,6463534,78
84,7113997,77
85,6701160,77
86,6173181,76
87,5903558,76
88,5982327,76
89,6061449,76
90,6057884,75
91,6657595,74
92,6970926,74
93,5768527,72
94,6647061,72
95,5974184,71
96,6449465,71
97,5663748,71
98,6625621,70
99,5963012,70
100,6888811,70
101,5943624,70
102,7181170,69
103,7519042,69
104,5815507,69
105,6160489,69
106,5974054,69
107,7136909,68
108,6086395,67
109,6567745,67
110,7231206,67
111,7139328,67
112,6572830,66
113,5832223,66
114,5757229,66
115,6349216,66
116,7962622,66
117,7159120,66
118,7042879,65
119,6175588,65
120,5966120,65
121,6539359,64
122,6216086,64
123,6807529,64
124,5699365,64
125,6801159,64
126,5705995,62
127,6690655,61
128,6879584,61
129,7057607,61
130,5893132,61
131,7215976,61
132,6999782,60
133,5886736,60
134,6564047,60
135,5880633,60
136,6426983,60
137,6791995,60
138,6944540,60
139,6577877,59
140,6756938,59
141,6965754,59
142,6067457,59
143,6484033,58
144,7085542,58
145,7006616,58
146,6487180,58
147,6920171,58
148,6744740,58
149,6018764,58
150,7043226,58
151,5729219,58
152,6486874,57
153,6912581,57
154,5982411,57
155,5771239,57
156,6912395,56
157,6334063,56
158,5950131,56
159,6105006,56
160,6867734,56
