,PatentID
0,8395587
1,6408436
2,7046910
3,5903133
4,7190956
5,6778512
6,5794185
7,6592696
8,8078203
9,8229428
10,7555696
11,5946653
12,7675970
13,8639194
14,8504082
15,8156560
16,7373181
17,7414990
18,8996018
19,5862451
20,7121851
21,5812527
22,6390355
23,7742753
24,7263365
25,8279822
26,6175334
27,6466804
28,7729357
29,7876837
30,5910951
31,5946346
32,6049704
33,8878996
34,6970926
35,6836676
36,6983160
37,6999921
38,6084782
39,8509102
40,8948061
41,5781226
42,6898420
43,7231663
44,7787562
45,7007203
46,6229794
47,9008728
48,7826409
49,5886736
50,6947180
51,7330155
52,6563427
53,8140102
54,8166518
55,8391895
56,6081733
57,8953943
58,8964690
59,7921553
60,6925128
61,6784786
62,8140439
63,6567663
64,7072309
65,6063521
66,8238960
67,6917675
68,7058609
69,7480427
70,5848357
71,6226317
72,6798789
73,6958990
74,8077154
75,7426194
76,6498667
77,6421602
78,6366302
79,6081719
80,8761278
81,6510142
82,7941181
83,5940746
84,7848221
85,7211721
86,6009552
87,6765888
88,6842621
89,6157313
90,8037011
91,7239867
92,5926501
93,7983426
94,7590128
95,8687806
96,6943777
97,6363249
98,7821975
99,7453406
100,6438109
101,7925278
102,8788676
103,8462727
104,7266101
105,7418040
106,7668915
107,7003275
108,7333795
109,7729366
110,5946356
111,7136644
112,6427075
113,6857132
114,6226283
115,5909249
116,7584099
117,7257421
118,9224359
119,6442401
120,8761846
121,6141540
122,6169906
123,7415410
124,6567745
125,6597915
126,5922047
127,6978147
128,7764793
129,7533018
130,6108322
131,8207875
132,5783969
133,6035491
134,6926990
135,8775966
136,6965763
137,7769370
138,8310351
139,6219540
140,5812956
141,8478190
142,6948183
143,5956641
144,D733103
145,D666987
146,7667371
147,7139328
148,6345307
149,8774135
150,7697447
151,5905358
152,7676250
153,7129824
154,8990338
155,5930276
156,9154282
157,8463314
158,5857049
159,8320952
160,7149516
161,8140342
162,9049470
163,7103782
164,8452296
165,9043148
166,6896548
167,8037541
168,8565350
169,8954501
170,8599871
171,6269336
172,5970391
173,5666657
174,7853475
175,5991800
176,7224512
177,6769091
178,5726983
179,6999467
180,7626972
181,7295544
182,6131089
183,6978139
184,D737815
185,7899188
186,7873893
187,8819759
188,6353617
189,5892910
190,6678258
191,5857173
192,7394770
193,7885394
194,8193971
195,6873826
196,6304763
197,6985099
198,8874634
199,8160561
200,8873570
201,5786727
202,7082303
203,5644743
204,9069549
205,5949774
206,7424294
207,7346356
208,5832026
209,6972542
210,7424276
211,6078571
212,7689247
213,5694120
214,5883612
215,7551738
216,7853009
217,6914906
218,6349216
219,5982351
220,6212414
221,6965754
222,8224310
223,8392702
224,6819290
225,7564820
226,7123714
227,7185284
228,6429771
