,app_number,patent_number,blocked_app,date,blocking_type
0,"09/847,143",7046910,10578151,2011-08-09,102e
1,"09/847,143",7046910,10578151,2011-08-09,103a
2,"09/855,385",7190956,12866025,2014-12-19,103a
3,"09/855,385",7190956,12866025,2014-04-30,103a
4,"08/665,178",5794185,13008925,2011-11-01,103a
5,"08/665,178",5794185,12035715,2011-08-15,103a
6,"12/534,213",8229428,13547133,2012-10-12,119
7,"11/286,497",7555696,11621919,2011-05-24,103a
8,"10/692,622",7373181,12336526,2011-04-05,103a
9,"10/692,622",7373181,13647868,2013-08-15,119
10,"10/952,362",7414990,11955055,2011-06-21,103a
11,"08/589,842",5862451,12470623,2011-10-25,103a
12,"08/589,842",5862451,12470623,2011-10-25,103a
13,"08/589,842",5862451,12470623,2011-10-25,103a
14,"08/589,842",5862451,12470623,2011-10-25,103a
15,"08/625,116",5812527,12436517,2011-05-03,102b
16,"10/413,060",7263365,11842543,2011-05-19,103
17,"09/648,955",6466804,13252096,2011-12-23,103a
18,"09/648,955",6466804,10476522,2011-05-05,103a
19,"09/648,955",6466804,12933760,2012-04-11,103a
20,"09/648,955",6466804,12990205,2013-10-09,103a
21,"11/558,243",7729357,11786969,2012-06-07,103a
22,"10/261,260",7876837,12356184,2011-06-28,103a
23,"10/261,260",7876837,12356184,2011-06-28,103a
24,"10/261,260",7876837,12356184,2011-06-28,103a
25,"10/261,260",7876837,12356184,2011-06-28,103a
26,"10/261,260",7876837,12356184,2011-06-28,103a
27,"10/261,260",7876837,12356184,2011-06-28,103a
28,"10/261,260",7876837,12027794,2012-03-15,103a
29,"08/720,984",5910951,11147396,2011-06-08,103a
30,"08/720,984",5910951,11147396,2011-06-08,103a
31,"08/720,984",5910951,11147396,2011-06-08,103a
32,"08/720,984",5910951,11147396,2011-06-08,103a
33,"08/720,984",5910951,11147396,2011-06-08,103a
34,"08/720,984",5910951,11147396,2011-06-08,103a
35,"08/720,984",5910951,11147396,2011-06-08,103a
36,"08/720,984",5910951,11147396,2011-06-08,103a
37,"08/720,984",5910951,11147396,2011-06-08,103a
38,"08/720,984",5910951,11147396,2011-06-08,103a
39,"08/720,984",5910951,11147396,2011-06-08,103a
40,"08/720,984",5910951,11147396,2011-06-08,103a
41,"08/720,984",5910951,11147396,2011-06-08,103a
42,"08/720,984",5910951,11147396,2011-06-08,103a
43,"08/720,984",5910951,11147396,2011-06-08,103a
44,"08/720,984",5910951,11945840,2011-07-21,103a
45,"08/720,984",5910951,11945840,2011-07-21,103a
46,"08/720,984",5910951,11945840,2012-02-02,103a
47,"08/720,984",5910951,11945840,2012-02-02,103a
48,"08/946,210",5946346,12475966,2012-01-04,103a
49,"09/678,056",6970926,11696428,2011-11-02,103
50,"09/678,056",6970926,11696428,2011-02-18,103a
51,"09/678,056",6970926,11696428,2012-05-11,103a
52,"10/003,153",6836676,13523413,2012-08-03,103a
53,"08/554,990",5781226,11400371,2012-09-20,103a
54,"08/554,990",5781226,12711092,2012-07-31,103a
55,"08/736,383",5886736,12311929,2011-10-27,103a
56,"08/736,383",5886736,12759554,2012-07-30,102b
57,"08/736,383",5886736,12759554,2012-07-30,103a
58,"08/736,383",5886736,12759554,2012-07-30,103a
59,"08/736,383",5886736,12759554,2012-07-30,103a
60,"08/736,383",5886736,12759554,2012-07-30,103a
61,"08/736,383",5886736,12759554,2012-07-30,103a
62,"08/736,383",5886736,12747442,2012-08-17,103a
63,"08/736,383",5886736,12747442,2012-08-17,103a
64,"08/736,383",5886736,12747442,2012-04-19,102b
65,"08/736,383",5886736,12747442,2012-04-19,103a
66,"08/736,383",5886736,12747442,2012-04-19,103a
67,"08/736,383",5886736,12759554,2013-03-29,103a
68,"08/736,383",5886736,12759554,2013-03-29,103a
69,"08/736,383",5886736,12759554,2013-03-29,103a
70,"08/736,383",5886736,12759554,2013-03-29,103a
71,"08/736,383",5886736,12759554,2013-03-29,103a
72,"08/736,383",5886736,12759554,2013-03-29,103a
73,"09/967,239",6563427,11331338,2011-10-17,103a
74,"09/967,239",6563427,11331338,2011-04-13,103
75,"11/838,517",8140102,12338573,2012-10-22,103a
76,"10/284,927",6925128,12905809,2011-03-09,103a
77,"10/284,927",6925128,12905809,2011-08-23,103
78,"10/284,927",6925128,13351738,2012-11-29,103a
79,"10/284,927",6925128,13351738,2012-06-20,103
80,"09/032,815",6063521,13011752,2012-08-02,103a
81,"09/032,815",6063521,13011752,2013-05-02,103a
82,"08/829,271",5848357,11540286,2011-01-07,103a
83,"08/829,271",5848357,11540286,2011-08-03,103a
84,"08/829,271",5848357,12495207,2011-11-25,103a
85,"09/753,833",6421602,12847659,2012-09-04,103a
86,"09/753,833",6421602,12847659,2012-04-24,103a
87,"09/218,324",6366302,11550053,2011-09-07,103a
88,"09/218,324",6366302,11550053,2011-09-07,103a
89,"09/218,324",6366302,11550053,2011-09-07,103a
90,"09/218,324",6366302,12692498,2012-06-27,103a
91,"12/210,359",8037011,12466880,2012-04-13,103a
92,"11/648,249",7983426,12352323,2011-08-08,103a
93,"10/610,500",7266101,12646718,2011-10-06,103a
94,"11/970,981",7729366,11985512,2011-05-10,103a
95,"11/970,981",7729366,11985512,2011-05-10,103a
96,"11/970,981",7729366,11985512,2011-05-10,103a
97,"11/970,981",7729366,11985512,2011-05-10,103a
98,"11/970,981",7729366,11985512,2011-05-10,103a
99,"09/602,512",6857132,10498466,2011-04-15,103a
100,"09/602,512",6857132,11137606,2011-03-14,103a
101,"09/602,512",6857132,11137606,2011-03-14,103a
102,"09/602,512",6857132,11137606,2011-03-14,103a
103,"09/602,512",6857132,11137606,2011-03-14,103a
104,"09/602,512",6857132,11137606,2011-03-14,103a
105,"10/796,326",7257421,13160622,2011-12-09,103a
106,"10/796,326",7257421,13160622,2012-04-12,103a
